sample_idx,label,gs_spearman_r,ts_spearman_r,sensitivity_nb_clicks_1week,sensitivity_product_price,sensitivity_click_hour,sensitivity_click_dow,sensitivity_device_type_enc,sensitivity_product_country_enc,sensitivity_product_age_group_enc,sensitivity_product_gender_enc,sensitivity_product_category_1_enc,sensitivity_partner_id_enc,gs_attr_nb_clicks_1week,gs_attr_product_price,gs_attr_click_hour,gs_attr_click_dow,gs_attr_device_type_enc,gs_attr_product_country_enc,gs_attr_product_age_group_enc,gs_attr_product_gender_enc,gs_attr_product_category_1_enc,gs_attr_partner_id_enc,ts_attr_nb_clicks_1week,ts_attr_product_price,ts_attr_click_hour,ts_attr_click_dow,ts_attr_device_type_enc,ts_attr_product_country_enc,ts_attr_product_age_group_enc,ts_attr_product_gender_enc,ts_attr_product_category_1_enc,ts_attr_partner_id_enc
66,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,0.058025885318565944,0.8545454545454544,0.039725423,0.3650471,0.100232005,0.017023861,0.06196153,0.6291241,0.5556124,0.17262751,0.634666,0.44330162,0.0051962035,0.09239673,0.0051962035,0.0051962035,0.0051962035,0.0051962035,0.0051962035,0.0051962035,0.0051962035,0.0051962035,0.0082746465,0.8295622,0.023209654,0.0015843097,0.014353314,0.16583446,0.062938444,0.02361843,0.09904068,0.065660976
77,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1,0.058025885318565944,0.7575757575757575,0.026967049,0.09597945,0.040371895,0.08873403,0.8199161,0.78944844,0.09377015,0.8269637,0.89779073,0.08668345,0.008503788,0.088531524,0.008503788,0.008503788,0.008503788,0.008503788,0.008503788,0.008503788,0.008503788,0.008503788,0.013093377,0.744984,0.022168985,0.025308529,0.16791984,0.23553869,0.09328632,0.18474974,0.14486942,0.051357787
127,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
