sparsity_label,T,sample_idx,label,gsshap_comp,gsshap_suff,gsshap_gini,gsshap_npl,gsshap_stability,timeshap_comp,timeshap_suff,timeshap_stability,winshap_comp
T32-Rich,32,95,0,-0.822003185749054,0.21873682737350464,0.42708336906471134,4,1.0,-0.822003185749054,0.2542860805988312,0.9846852555978028,-0.822003185749054
T32-Rich,32,96,0,-0.9967889189720154,0.29133671522140503,-1.003125,4,,-0.9967889189720154,0.24944229423999786,0.9919729615547103,-0.9967889189720154
T32-Rich,32,97,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9399017701793233,0.0
T32-Rich,32,98,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9801436417405996,0.0
T32-Rich,32,99,0,-0.9814634919166565,0.48887187242507935,-1.003125,4,,-0.9814634919166565,0.2654287815093994,0.988170680185889,-0.9814634919166565
T32-Rich,32,100,1,-0.36969953775405884,0.17573758959770203,-1.003125,4,,-0.36969953775405884,0.10930974781513214,0.988593155893536,-0.36969953775405884
T32-Rich,32,101,1,-0.09597945213317871,0.04783044755458832,-1.003125,4,,-0.09597945213317871,0.04798853397369385,0.9723278411491337,-0.09597945213317871
T32-Rich,32,102,0,-0.9955735206604004,0.26302728056907654,-1.003125,4,,-0.9955735206604004,0.24951903522014618,0.9957752429235316,-0.9955735206604004
T32-Rich,32,103,0,-0.9986045360565186,0.2534482181072235,-1.003125,4,,-0.9986045360565186,0.24976718425750732,0.9950359104351497,-0.9986045360565186
T32-Rich,32,104,0,-0.9993583559989929,0.2506101131439209,-1.003125,4,,-0.9993583559989929,0.24991579353809357,0.9980988593155891,-0.9993583559989929
T32-Rich,32,105,0,-0.9984267950057983,0.24992488324642181,0.3035713666869633,4,0.6482485908767136,-0.9984267950057983,0.2506219446659088,0.9965145754119136,-0.9984267950057983
T32-Rich,32,106,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,107,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9851077313054498,0.0
T32-Rich,32,108,0,-0.9956343173980713,0.3514893054962158,-1.003125,4,,-0.9956343173980713,0.25150540471076965,0.993557245458386,-0.9956343173980713
T32-Rich,32,109,0,-0.9972600936889648,0.2513306438922882,-1.003125,4,,-0.9972600936889648,0.24962881207466125,0.9970426700464722,-0.9972600936889648
T32-Rich,32,110,0,-0.9473035931587219,0.47279441356658936,-1.003125,4,,-0.9473035931587219,0.2986297607421875,0.9815166877904518,-0.9473035931587219
T32-Rich,32,111,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9006603608293978,0.0
T32-Rich,32,112,0,-0.9861031770706177,0.4835132956504822,-1.003125,4,,-0.9861031770706177,0.2730308473110199,0.987536966624419,-0.9861031770706177
T32-Rich,32,113,0,-0.9994719624519348,0.24988649785518646,0.31588787432152654,4,0.986842105263158,-0.9994719624519348,0.24999701976776123,0.9986269539501477,-0.9994719624519348
T32-Rich,32,114,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9819849567796797,0.0
T32-Rich,32,115,0,-0.9949372410774231,0.3183911144733429,-1.003125,4,,-0.9949372410774231,0.25036630034446716,0.9903886776510348,-0.9949372410774231
T32-Rich,32,116,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.986082825557919,0.0
T32-Rich,32,117,1,-0.4932712912559509,0.2431197464466095,-1.003125,4,,-0.4932712912559509,0.1515483260154724,0.9877482044782423,-0.4932712912559509
T32-Rich,32,118,0,-0.7499172687530518,0.4995949864387512,0.4059013518207857,4,0.986842105263158,-0.9992827773094177,0.2502734363079071,0.9961977186311787,-0.9992827773094177
T32-Rich,32,119,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.8123915307304815,0.0
T32-Rich,32,120,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.868008843335791,0.0
T32-Rich,32,121,0,-0.9997180104255676,0.25208431482315063,-1.003125,4,,-0.9997180104255676,0.2500423491001129,0.99566962399662,-0.9997180104255676
T32-Rich,32,122,0,-0.9834150671958923,0.476814329624176,-1.003125,4,,-0.9834150671958923,0.2576804757118225,0.9881706801858892,-0.9834150671958923
T32-Rich,32,123,0,-0.7500695586204529,0.4990602135658264,0.39197624461545466,4,0.9824561403508772,-0.9998354315757751,0.2516305446624756,0.9937684833122095,-0.9998354315757751
T32-Rich,32,124,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9968314321926487,0.0
T32-Rich,32,125,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,126,0,-0.9910358786582947,0.42113134264945984,-1.003125,4,,-0.9910358786582947,0.252761572599411,0.9921841994085338,-0.9910358786582947
T32-Rich,32,127,0,-0.7496308088302612,0.4997754395008087,0.41916754761826036,4,0.986842105263158,-0.9995582103729248,0.2499884068965912,0.9970426700464721,-0.9995582103729248
T32-Rich,32,128,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,129,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9831009716941274,0.0
T32-Rich,32,130,0,-0.7501267194747925,0.499364972114563,0.44100634125040794,4,0.986842105263158,-0.9998126029968262,0.25002628564834595,0.9968314321926489,-0.9998126029968262
T32-Rich,32,131,1,-0.00039249658584594727,0.00019377470016479492,-1.003125,4,,-0.00039249658584594727,0.00019615888595581055,0.9757076468103082,-0.00039249658584594727
T32-Rich,32,132,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.939557157993502,0.0
T32-Rich,32,133,0,-0.9959811568260193,0.3457168936729431,-1.003125,4,,-0.9959811568260193,0.252298504114151,0.9916561047739753,-0.9959811568260193
T32-Rich,32,134,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9828897338403039,0.0
T32-Rich,32,135,0,0.3754413425922394,0.5837645530700684,0.2644229736963595,4,0.8552631578947368,-0.5837645530700684,0.1820179522037506,0.9902830587241231,-0.5837645530700684
T32-Rich,32,136,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9434714583147086,0.0
T32-Rich,32,137,0,-0.9955176115036011,0.46615344285964966,-1.003125,4,,-0.9955176115036011,0.2525649070739746,0.9888043937473593,-0.9955176115036011
T32-Rich,32,138,1,-0.284812867641449,0.14239901304244995,-1.003125,4,,-0.284812867641449,0.1424064338207245,0.9742289818335443,-0.284812867641449
T32-Rich,32,139,0,-0.9754594564437866,0.4867595136165619,-1.003125,4,,-0.9754594564437866,0.2858821153640747,0.9827841149133923,-0.9754594564437866
T32-Rich,32,140,0,-0.9581972360610962,0.24652539193630219,0.5161028053626024,4,1.0,-0.9581972360610962,0.2525366246700287,0.9862695395014786,-0.9581972360610962
T32-Rich,32,141,0,-0.987838625907898,0.48726654052734375,-1.003125,4,,-0.987838625907898,0.26973333954811096,0.9896493451626531,-0.987838625907898
T32-Rich,32,142,0,-0.8853522539138794,0.42112165689468384,-1.003125,4,,-0.8853522539138794,0.25181710720062256,0.9913392479932401,-0.8853522539138794
